iter	Passed	Remaining
597	9017	6061
598	9034	6048
599	9050	6033
600	9064	6018
601	9080	6003
602	9093	5987
603	9108	5972
604	9123	5956
605	9136	5940
606	9152	5925
607	9166	5910
608	9185	5897
609	9200	5882
610	9214	5866
611	9227	5850
612	9243	5835
613	9258	5820
614	9271	5804
615	9287	5789
616	9301	5773
617	9314	5757
618	9327	5740
619	9341	5725
620	9354	5709
621	9374	5696
622	9388	5681
623	9400	5664
624	9414	5648
625	9430	5634
626	9446	5619
627	9459	5603
628	9475	5588
629	9487	5572
630	9503	5557
631	9517	5541
632	9530	5525
633	9545	5510
634	9559	5494
635	9574	5479
636	9590	5465
637	9604	5449
638	9618	5433
639	9632	5418
640	9645	5402
641	9660	5386
642	9672	5370
643	9686	5354
644	9704	5341
645	9719	5326
646	9732	5310
647	9749	5295
648	9762	5279
649	9776	5264
650	9789	5248
651	9803	5232
652	9817	5216
653	9831	5201
654	9846	5186
655	9862	5171
656	9877	5156
657	9893	5142
658	9906	5126
659	9920	5110
660	9936	5095
661	9950	5080
662	9962	5063
663	9978	5049
664	9996	5035
665	10011	5020
666	10029	5007
667	10042	4991
668	10059	4977
669	10075	4962
670	10088	4946
671	10102	4930
672	10115	4915
673	10130	4899
674	10143	4883
675	10155	4867
676	10170	4852
677	10183	4836
678	10198	4821
679	10212	4806
680	10226	4790
681	10239	4774
682	10253	4759
683	10266	4743
684	10284	4729
685	10299	4714
686	10313	4698
687	10326	4682
688	10343	4669
689	10358	4653
690	10372	4638
691	10384	4621
692	10400	4607
693	10415	4592
694	10428	4576
695	10443	4561
696	10460	4547
697	10474	4532
698	10487	4516
699	10501	4500
700	10518	4486
701	10533	4471
702	10547	4455
703	10561	4440
704	10573	4424
705	10587	4408
706	10607	4395
707	10623	4381
708	10637	4365
709	10650	4350
710	10664	4334
711	10682	4321
712	10699	4306
713	10716	4292
714	10731	4277
715	10748	4263
716	10762	4248
717	10775	4232
718	10788	4216
719	10802	4200
720	10815	4185
721	10828	4169
722	10841	4153
723	10854	4138
724	10868	4122
725	10885	4108
726	10898	4092
727	10912	4077
728	10928	4062
729	10941	4047
730	10955	4031
731	10969	4016
732	10985	4001
733	11002	3987
734	11017	3972
735	11031	3956
736	11043	3940
737	11056	3925
738	11071	3910
739	11086	3895
740	11100	3879
741	11114	3864
742	11128	3849
743	11142	3833
744	11156	3818
745	11171	3803
746	11186	3788
747	11204	3774
748	11219	3759
749	11232	3744
750	11245	3728
751	11259	3713
752	11272	3697
753	11285	3682
754	11300	3667
755	11312	3651
756	11326	3635
757	11342	3621
758	11358	3606
759	11371	3590
760	11390	3577
761	11403	3561
762	11415	3545
763	11433	3531
764	11448	3516
765	11462	3501
766	11478	3487
767	11492	3471
768	11509	3457
769	11525	3442
770	11541	3427
771	11556	3413
772	11568	3397
773	11583	3382
774	11598	3367
775	11610	3351
776	11623	3336
777	11638	3320
778	11651	3305
779	11667	3290
780	11682	3275
781	11698	3261
782	11711	3245
783	11725	3230
784	11739	3215
785	11754	3200
786	11768	3185
787	11787	3171
788	11803	3156
789	11820	3142
790	11834	3126
791	11849	3112
792	11864	3097
793	11879	3082
794	11894	3067
795	11906	3051
796	11919	3036
797	11933	3020
798	11949	3006
799	11965	2991
800	11980	2976
801	11992	2960
802	12007	2945
803	12021	2930
804	12034	2915
805	12048	2900
806	12066	2885
807	12081	2870
808	12099	2856
809	12114	2841
810	12128	2826
811	12145	2811
812	12160	2796
813	12174	2781
814	12188	2766
815	12199	2750
816	12215	2736
817	12232	2721
818	12246	2706
819	12262	2691
820	12275	2676
821	12288	2660
822	12304	2646
823	12317	2630
824	12334	2616
825	12348	2601
826	12363	2586
827	12379	2571
828	12394	2556
829	12408	2541
830	12421	2526
831	12435	2511
832	12449	2495
833	12464	2480
834	12480	2466
835	12493	2450
836	12508	2435
837	12520	2420
838	12534	2405
839	12550	2390
840	12562	2375
841	12576	2360
842	12594	2345
843	12609	2330
844	12622	2315
845	12639	2300
846	12657	2286
847	12670	2271
848	12684	2256
849	12701	2241
850	12716	2226
851	12730	2211
852	12744	2196
853	12759	2181
854	12773	2166
855	12787	2151
856	12802	2136
857	12819	2121
858	12833	2106
859	12849	2091
860	12864	2076
861	12881	2062
862	12894	2046
863	12909	2032
864	12924	2017
865	12937	2001
866	12953	1987
867	12966	1971
868	12981	1956
869	12997	1942
870	13012	1927
871	13024	1911
872	13041	1897
873	13056	1882
874	13070	1867
875	13084	1852
876	13096	1836
877	13109	1821
878	13125	1806
879	13140	1791
880	13157	1777
881	13174	1762
882	13190	1747
883	13205	1732
884	13220	1717
885	13235	1703
886	13252	1688
887	13269	1673
888	13284	1658
889	13299	1643
890	13315	1628
891	13328	1613
892	13343	1598
893	13357	1583
894	13371	1568
895	13384	1553
896	13401	1538
897	13415	1523
898	13430	1508
899	13446	1494
900	13459	1478
901	13474	1463
902	13488	1448
903	13504	1434
904	13518	1419
905	13535	1404
906	13550	1389
907	13563	1374
908	13578	1359
909	13591	1344
910	13606	1329
911	13621	1314
912	13635	1299
913	13653	1284
914	13667	1269
915	13679	1254
916	13695	1239
917	13710	1224
918	13723	1209
919	13740	1194
920	13752	1179
921	13769	1164
922	13786	1150
923	13799	1135
924	13812	1119
925	13828	1105
926	13842	1090
927	13861	1075
928	13876	1060
929	13889	1045
930	13908	1030
931	13921	1015
932	13934	1000
933	13949	985
934	13963	970
935	13977	955
936	13992	940
937	14006	925
938	14020	910
939	14035	895
940	14048	880
941	14063	865
942	14079	851
943	14094	836
944	14106	821
945	14122	806
946	14137	791
947	14149	776
948	14163	761
949	14176	746
950	14193	731
951	14208	716
952	14223	701
953	14238	686
954	14252	671
955	14266	656
956	14279	641
957	14293	626
958	14309	611
959	14321	596
960	14334	581
961	14347	566
962	14360	551
963	14378	536
964	14392	521
965	14407	507
966	14422	492
967	14435	477
968	14450	462
969	14464	447
970	14478	432
971	14492	417
972	14507	402
973	14522	387
974	14541	372
975	14558	357
976	14576	343
977	14590	328
978	14603	313
979	14619	298
980	14634	283
981	14650	268
982	14663	253
983	14678	238
984	14693	223
985	14707	208
986	14721	193
987	14737	179
988	14756	164
989	14771	149
990	14785	134
991	14797	119
992	14809	104
993	14823	89
994	14837	74
995	14852	59
996	14868	44
997	14882	29
998	14895	14
999	14909	0
