iter	RMSE
0	61.81657315
1	61.25612066
2	60.70810181
3	60.1611161
4	59.61745495
5	59.08094313
6	58.5512822
7	58.02635382
8	57.50539307
9	56.99102678
10	56.4808701
11	55.97568749
12	55.48058278
13	54.99023071
14	54.50287124
15	54.01805965
16	53.53982126
17	53.06774668
18	52.59887982
19	52.13475691
20	51.67945984
21	51.22778108
22	50.77968341
23	50.33037234
24	49.89039031
25	49.45423518
26	49.0244644
27	48.59373589
28	48.17623113
29	47.75391322
30	47.34086535
31	46.93270991
32	46.52393079
33	46.11957017
34	45.72469148
35	45.33286036
36	44.94274583
37	44.55623025
38	44.17616341
39	43.79696016
40	43.42238826
41	43.05115919
42	42.68514014
43	42.32022585
44	41.96115282
45	41.60818674
46	41.25424937
47	40.90528159
48	40.56253293
49	40.22040687
50	39.88082
51	39.54937451
52	39.21700448
53	38.88654584
54	38.56110582
55	38.23713103
56	37.92127791
57	37.6042042
58	37.29161015
59	36.97945436
60	36.67215166
61	36.36666318
62	36.06354501
63	35.76229507
64	35.46946961
65	35.17690269
66	34.8850215
67	34.59520954
68	34.3102669
69	34.02779408
70	33.74709623
71	33.47540589
72	33.20226145
73	32.93295698
74	32.66654175
75	32.40183802
76	32.13788427
77	31.87699305
78	31.61881111
79	31.36674522
80	31.1164418
81	30.86445109
82	30.61578139
83	30.36951159
84	30.12670359
85	29.88633557
86	29.64909485
87	29.41534583
88	29.18131462
89	28.94911156
90	28.71980721
91	28.49241118
92	28.27050449
93	28.04902822
94	27.82992961
95	27.61252927
96	27.39539639
97	27.18371839
98	26.97147519
99	26.76254571
100	26.5554625
101	26.35110158
102	26.14702576
103	25.94593918
104	25.74599573
105	25.54822638
106	25.35419157
107	25.1610883
108	24.96998126
109	24.77827962
110	24.5904701
111	24.40278723
112	24.21829145
113	24.03846002
114	23.85711068
115	23.67775944
116	23.50011779
117	23.32539192
118	23.1515576
119	22.97891372
120	22.8084172
121	22.63917689
122	22.47175046
123	22.30604729
124	22.14140385
125	21.98178331
126	21.82243777
127	21.66260014
128	21.50522437
129	21.34902835
130	21.1942433
131	21.04198946
132	20.89364191
133	20.7450334
134	20.59654538
135	20.44928598
136	20.3036317
137	20.15985988
138	20.01786467
139	19.87681263
140	19.73727429
141	19.59988988
142	19.46216331
143	19.32857788
144	19.1949485
145	19.0626882
146	18.93150826
147	18.80105096
148	18.67204123
149	18.54490397
150	18.41876467
151	18.29511176
152	18.1710611
153	18.05028531
154	17.92945603
155	17.81475359
156	17.69492712
157	17.57535689
158	17.45806832
159	17.34308099
160	17.22843963
161	17.11465748
162	17.00196189
163	16.89193041
164	16.78161511
165	16.6727815
166	16.56293338
167	16.45593044
168	16.3511143
169	16.24446999
170	16.1411521
171	16.03779948
172	15.93585139
173	15.83617269
174	15.73682196
175	15.6394682
176	15.53974916
177	15.44222226
178	15.3468176
179	15.24853183
180	15.15500513
181	15.06179379
182	14.96891132
183	14.87829307
184	14.78706408
185	14.69795827
186	14.60873074
187	14.52441355
188	14.4380961
189	14.35148682
190	14.26633043
191	14.17759528
192	14.09088689
193	14.00853863
194	13.92160634
195	13.84149416
196	13.76017304
197	13.68061997
198	13.60135563
199	13.52310044
200	13.44048751
201	13.36009961
202	13.28157333
203	13.20697595
204	13.1301422
205	13.0528957
206	12.97542964
207	12.90256906
208	12.83100117
209	12.76010314
210	12.68656972
211	12.61308171
212	12.54119686
213	12.47251028
214	12.40187834
215	12.33427807
216	12.26801647
217	12.20263002
218	12.1374395
219	12.0702109
220	12.00638241
221	11.94040683
222	11.87427941
223	11.80981254
224	11.74554276
225	11.67996196
226	11.6159121
227	11.55598122
228	11.49856769
229	11.43956078
230	11.37745503
231	11.31989105
232	11.2641172
233	11.20309279
234	11.14422225
235	11.08863468
236	11.03347087
237	10.97754537
238	10.92406861
239	10.86784088
240	10.80989885
241	10.7577042
242	10.70171061
243	10.64966636
244	10.59461256
245	10.5417678
246	10.49180114
247	10.43941762
248	10.38781127
249	10.3347763
250	10.28371993
251	10.23400205
252	10.18638364
253	10.13626817
254	10.08593801
255	10.038205
256	9.988735624
257	9.942047379
258	9.897217161
259	9.851155369
260	9.803727966
261	9.756173347
262	9.711181809
263	9.664056908
264	9.617970619
265	9.57564511
266	9.530062401
267	9.487593143
268	9.44635105
269	9.403870911
270	9.362650074
271	9.322681878
272	9.280918337
273	9.23930818
274	9.198147333
275	9.157384004
276	9.11655281
277	9.076831962
278	9.036946168
279	8.997370956
280	8.958670608
281	8.919100466
282	8.881373733
283	8.844291075
284	8.807204797
285	8.772138592
286	8.736059015
287	8.700005104
288	8.664081335
289	8.630325435
290	8.595008903
291	8.560550208
292	8.525261836
293	8.491490334
294	8.45685328
295	8.42335477
296	8.389774051
297	8.356902248
298	8.322411007
299	8.291234225
300	8.259413765
301	8.228900097
302	8.196886565
303	8.165154759
304	8.134811321
305	8.104137501
306	8.075349079
307	8.04562748
308	8.015906961
309	7.986245038
310	7.956928122
311	7.928283632
312	7.899085402
313	7.869318145
314	7.84095017
315	7.81359913
316	7.786240345
317	7.759452303
318	7.732933355
319	7.707173996
320	7.681171461
321	7.65409259
322	7.628810607
323	7.602115004
324	7.575813402
325	7.550594301
326	7.524149055
327	7.499819539
328	7.474667605
329	7.448323129
330	7.424426044
331	7.401368816
332	7.377065557
333	7.353532349
334	7.330120992
335	7.307251854
336	7.283644471
337	7.261989367
338	7.238812365
339	7.216912361
340	7.193018958
341	7.170636425
342	7.149218352
343	7.128260009
344	7.106111891
345	7.085288328
346	7.065034404
347	7.043669067
348	7.022084759
349	7.001529846
350	6.981885116
351	6.96139727
352	6.94240616
353	6.921160022
354	6.901159114
355	6.880161196
356	6.860707331
357	6.842116918
358	6.821758706
359	6.80325558
360	6.785423399
361	6.766812711
362	6.748121462
363	6.729961069
364	6.711701628
365	6.693283662
366	6.674830975
367	6.657749425
368	6.640999189
369	6.624277914
370	6.607117763
371	6.589628264
372	6.570866177
373	6.554738899
374	6.538822173
375	6.523155372
376	6.506304599
377	6.490648021
378	6.475446927
379	6.458843234
380	6.443799007
381	6.427355218
382	6.410813426
383	6.396028823
384	6.380474189
385	6.365569002
386	6.350784784
387	6.334369427
388	6.320343707
389	6.304275
390	6.288547229
391	6.274960805
392	6.260336963
393	6.246366457
394	6.233218768
395	6.220360088
396	6.20591032
397	6.19168783
398	6.17740227
399	6.164225961
400	6.151531983
401	6.13898671
402	6.126185606
403	6.112569269
404	6.099252297
405	6.085555161
406	6.073488295
407	6.06175376
408	6.049119301
409	6.037634462
410	6.024682491
411	6.012873975
412	6.001047429
413	5.989713585
414	5.978686837
415	5.967403003
416	5.955940728
417	5.944747358
418	5.932206177
419	5.921567653
420	5.910985792
421	5.900667924
422	5.889407024
423	5.878367094
424	5.867025503
425	5.854560525
426	5.844330782
427	5.834085467
428	5.824156834
429	5.81405879
430	5.80449921
431	5.79491629
432	5.785687125
433	5.775554735
434	5.765528875
435	5.755671773
436	5.746108269
437	5.734845024
438	5.724742119
439	5.714501848
440	5.705505429
441	5.694890149
442	5.686201513
443	5.677503332
444	5.668094793
445	5.659564131
446	5.650933956
447	5.642734284
448	5.633690075
449	5.624696025
450	5.616377466
451	5.608223853
452	5.599600394
453	5.589867702
454	5.581813592
455	5.573763376
456	5.563702142
457	5.552334712
458	5.544521576
459	5.536259733
460	5.528216956
461	5.520202836
462	5.512555096
463	5.50528053
464	5.497277163
465	5.488385638
466	5.481371257
467	5.47418827
468	5.466962334
469	5.46014777
470	5.453372485
471	5.446253007
472	5.438140682
473	5.431590097
474	5.42457874
475	5.416875889
476	5.408546467
477	5.401989294
478	5.395621816
479	5.389080657
480	5.382624661
481	5.376081264
482	5.369746951
483	5.362184967
484	5.355793081
485	5.349623804
486	5.343506015
487	5.336549758
488	5.330503964
489	5.324561032
490	5.31694307
491	5.310692246
492	5.304907721
493	5.299158979
494	5.293443766
495	5.287870405
496	5.282266123
497	5.274288852
498	5.268715262
499	5.263286997
